point_id;point_type_id;station_abbr;postal_code;point_name;point_type_de;point_type_fr;point_type_it;point_type_en;point_height_masl;point_coordinates_lv95_east;point_coordinates_lv95_north;point_coordinates_wgs84_lat;point_coordinates_wgs84_lon
1;1;ARO;;Arosa;Station;Station;Stazione;Station;1878.0;2771031.0;1184830.0;46.792661;9.679014
2;1;RAG;;Bad Ragaz;Station;Station;Stazione;Station;497.0;2756911.0;1209351.0;47.016631;9.502594
3;1;HAI;;Salen-Reutenen;Station;Station;Stazione;Station;719.0;2719100.0;1279047.0;47.651242;9.023911
4;1;HLL;;Hallau;Station;Station;Stazione;Station;419.0;2677457.0;1283472.0;47.697278;8.470464
6;1;DEM;;Delémont;Station;Station;Stazione;Station;439.0;2593270.0;1244543.0;47.351706;7.349567
7;1;EBK;;Ebnat-Kappel;Station;Station;Stazione;Station;623.0;2726348.0;1237176.0;47.273389;9.108494
8;1;ELM;;Elm;Station;Station;Stazione;Station;958.0;2732266.0;1198424.0;46.923742;9.175347
9;1;EIN;;Einsiedeln;Station;Station;Stazione;Station;911.0;2699984.0;1221068.0;47.133042;8.756556
10;1;ANT;;Andermatt;Station;Station;Stazione;Station;1435.0;2687445.0;1165044.0;46.630914;8.580553
11;1;MER;;Meiringen;Station;Station;Stazione;Station;589.0;2655844.0;1175930.0;46.732222;8.169247
13;1;CHD;;Château-d'Oex;Station;Station;Stazione;Station;1028.0;2577040.0;1147655.0;46.479819;7.139656
14;1;GRA;;Fribourg / Grangeneuve;Station;Station;Stazione;Station;651.0;2575184.0;1180076.0;46.7714;7.113736
15;1;CHM;;Chaumont;Station;Station;Stazione;Station;1136.0;2565060.0;1211007.0;47.049169;6.978825
17;1;LAG;;Langnau i.E.;Station;Station;Stazione;Station;744.0;2628004.0;1198793.0;46.939633;7.806425
18;1;KOP;;Koppigen;Station;Station;Stazione;Station;485.0;2612663.0;1218665.0;47.11885;7.605503
19;1;GRC;;Grächen;Station;Station;Stazione;Station;1605.0;2630738.0;1116062.0;46.195314;7.836822
20;1;BLA;;Blatten, Lötschental;Station;Station;Stazione;Station;1548.0;2629776.0;1141283.0;46.422231;7.825969
22;1;GRO;;Grono;Station;Station;Stazione;Station;324.0;2733018.0;1124089.0;46.255075;9.163758
23;1;BEH;;Passo del Bernina;Station;Station;Stazione;Station;2260.0;2798423.0;1143020.0;46.409158;10.019567
24;1;SIA;;Segl-Maria;Station;Station;Stazione;Station;1804.0;2778576.0;1144976.0;46.432331;9.762325
25;1;SMM;;Sta. Maria, Val Müstair;Station;Station;Stazione;Station;1386.0;2828862.0;1165580.0;46.602256;10.426314
26;1;DAV;;Davos;Station;Station;Stazione;Station;1594.0;2783519.0;1187459.0;46.812969;9.843558
27;1;CHU;;Chur;Station;Station;Stazione;Station;556.0;2759485.0;1193176.0;46.870572;9.530761
28;1;ROB;;Poschiavo / Robbia;Station;Station;Stazione;Station;1078.0;2801994.0;1136249.0;46.347217;10.063031
29;1;SAM;;Samedan;Station;Station;Stazione;Station;1709.0;2787251.0;1155685.0;46.526247;9.879469
30;1;SCU;;Scuol;Station;Station;Stazione;Station;1304.0;2817139.0;1186393.0;46.793275;10.283267
31;1;DOL;;La Dôle;Station;Station;Stazione;Station;1670.0;2497059.0;1142373.0;46.424794;6.099453
32;1;PAY;;Payerne;Station;Station;Stazione;Station;490.0;2562131.0;1184612.0;46.811581;6.942469
33;1;JUN;;Jungfraujoch;Station;Station;Stazione;Station;3571.0;2641939.0;1155287.0;46.547556;7.985444
34;1;WYN;;Wynau;Station;Station;Stazione;Station;422.0;2626405.0;1233849.0;47.255025;7.787475
35;1;SAE;;Säntis;Station;Station;Stazione;Station;2501.0;2744188.0;1234920.0;47.249447;9.343469
36;1;VAD;;Vaduz;Station;Station;Stazione;Station;457.0;2757724.0;1221699.0;47.127472;9.517578
37;1;AIG;;Aigle;Station;Station;Stazione;Station;381.0;2560404.0;1130713.0;46.326647;6.924472
38;1;MLS;;Le Moléson;Station;Station;Stazione;Station;1974.0;2567718.0;1155077.0;46.546197;7.017753
39;1;FAH;;Fahy;Station;Station;Stazione;Station;596.0;2562465.0;1252676.0;47.423814;6.941194
40;1;MVE;;Montana;Station;Station;Stazione;Station;1423.0;2601709.0;1127489.0;46.298806;7.460814
41;1;ZER;;Zermatt;Station;Station;Stazione;Station;1638.0;2624298.0;1097574.0;46.029272;7.752433
42;1;CHA;;Chasseral;Station;Station;Stazione;Station;1594.0;2570845.0;1220158.0;47.131761;7.054367
43;1;PIL;;Pilatus;Station;Station;Stazione;Station;2105.0;2661905.0;1203410.0;46.978869;8.252256
44;1;ALT;;Altdorf;Station;Station;Stazione;Station;438.0;2690181.0;1193564.0;46.887069;8.621894
45;1;ULR;;Ulrichen;Station;Station;Stazione;Station;1346.0;2666748.0;1150767.0;46.504881;8.308236
46;1;PIO;;Piotta;Station;Station;Stazione;Station;990.0;2695881.0;1152264.0;46.514811;8.688039
47;1;LUG;;Lugano;Station;Station;Stazione;Station;273.0;2717874.0;1095883.0;46.004217;8.960322
48;1;NAP;;Napf;Station;Station;Stazione;Station;1404.0;2638137.0;1206079.0;47.004667;7.940117
49;1;SIO;;Sion;Station;Station;Stazione;Station;482.0;2591633.0;1118584.0;46.21865;7.330203
50;1;MAG;;Magadino / Cadenazzo;Station;Station;Stazione;Station;203.0;2715480.0;1113161.0;46.160025;8.933672
51;1;NEU;;Neuchâtel;Station;Station;Stazione;Station;485.0;2563087.0;1205560.0;47.000067;6.953297
52;1;SBO;;Stabio;Station;Station;Stazione;Station;351.0;2716049.0;1077972.0;45.843444;8.932364
53;1;INT;;Interlaken;Station;Station;Stazione;Station;578.0;2633043.0;1169070.0;46.672033;7.87045
54;1;DIS;;Disentis;Station;Station;Stazione;Station;1197.0;2708191.0;1173793.0;46.706569;8.853478
56;1;STG;;St. Gallen;Station;Station;Stazione;Station;776.0;2747866.0;1254588.0;47.425475;9.398528
57;1;GLA;;Glarus;Station;Station;Stazione;Station;517.0;2723757.0;1210567.0;47.034586;9.066961
58;1;GVE;;Genève / Cointrin;Station;Station;Stazione;Station;411.0;2498904.0;1122632.0;46.247519;6.127742
59;1;KLO;;Zürich / Kloten;Station;Station;Stazione;Station;426.0;2682711.0;1259339.0;47.479611;8.535961
60;1;GUE;;Gütsch, Andermatt;Station;Station;Stazione;Station;2286.0;2690087.0;1167480.0;46.652475;8.615531
61;1;PUY;;Pully;Station;Station;Stazione;Station;456.0;2540819.0;1151511.0;46.512283;6.667517
62;1;GSB;;Col du Grand St-Bernard;Station;Station;Stazione;Station;2472.0;2579191.0;1079754.0;45.869092;7.170683
63;1;ABO;;Adelboden;Station;Station;Stazione;Station;1321.0;2609372.0;1148939.0;46.491703;7.560703
64;1;VIS;;Visp;Station;Station;Stazione;Station;639.0;2631151.0;1128024.0;46.3029;7.842958
65;1;CDF;;La Chaux-de-Fonds;Station;Station;Stazione;Station;1017.0;2550919.0;1214862.0;47.082947;6.792314
66;1;RUE;;Rünenberg;Station;Station;Stazione;Station;611.0;2633253.0;1253846.0;47.434572;7.879414
67;1;BUS;;Buchs / Aarau;Station;Station;Stazione;Station;387.0;2648396.0;1248370.0;47.384381;8.07955
68;1;LUZ;;Luzern;Station;Station;Stazione;Station;454.0;2665545.0;1209850.0;47.036439;8.301022
69;1;ENG;;Engelberg;Station;Station;Stazione;Station;1036.0;2674162.0;1186069.0;46.821639;8.410514
70;1;SHA;;Schaffhausen;Station;Station;Stazione;Station;438.0;2688704.0;1282803.0;47.689842;8.620142
71;1;SMA;;Zürich / Fluntern;Station;Station;Stazione;Station;556.0;2685118.0;1248066.0;47.377925;8.565742
72;1;SBE;;S. Bernardino;Station;Station;Stazione;Station;1639.0;2734116.0;1147294.0;46.463542;9.1847
73;1;WFJ;;Weissfluhjoch;Station;Station;Stazione;Station;2691.0;2780616.0;1189634.0;46.833325;9.806394
